Cód. Curso,Nome do curso (Catálogo Nacional de Cursos Técnicos)
1001,Agente Comunitário de Saúde
1002,Análises clínicas
1004,Citopatologia
1005,Controle Ambiental
1006,Enfermagem
1007,Equipamentos Biomédicos
1008,Estética
1009,Farmácia
1010,Gerência de Saúde
1011,Hemoterapia
1012,Saúde Bucal
1013,Imagem Pessoal
1014,Imobilizações Ortopédicas
1015,Massoterapia
1016,Meio Ambiente
1017,Meteorologia
1018,Nutrição e Dietética
1019,Óptica
1020,Órteses e Próteses
1021,Podologia
1022,Prótese Dentária
1023,Radiologia
1024,Reabilitação de Dependentes Químicos
1025,Reciclagem
1026,Registros e Informações em Saúde
1028,Vigilância em Saúde
1029,Cuidados de Idosos
1030,Necropsia
1999,Outros - Eixo Ambiente e Saúde
2029,Alimentação Escolar
2030,Biblioteconomia
2031,Infraestrutura escolar
2032,Multimeios Didáticos
2033,Orientação Comunitária
2034,Secretaria Escolar
2035,Ludoteca
2036,Produção de materiais didáticos bilíngue em Libras/Língua Portuguesa
2037,Tradução e Interpretação de Libras
2038,Treinamento e Instrução de Cães-Guia
2039,Laboratório de Ciências da Natureza
2999,Outros - Eixo Desenvolvimento educacional e social
3036,Automação Industrial
3037,Eletroeletrônica
3038,Eletromecânica
3039,Eletrônica
3040,Eletrotécnica
3041,Manutenção Automotiva
3042,Manutenção de Máquinas Navais
3043,Mecânica
3044,Mecatrônica
3045,Metalurgia
3048,Refrigeração e Climatização
3049,Sistemas a Gás
3050,Manutenção de Aeronaves em Aviônicos
3051,Manutenção de Aeronaves em Célula
3052,Manutenção de Aeronaves em Grupo Motopropulsor
3053,Manutenção de Máquinas Pesadas
3054,Manutenção de Sistemas Metroferroviários
3055,Mecânica de Precisão
3056,Metrologia
3057,Processamento da Madeira
3058,Sistemas de Energia Renovável
3059,Soldagem
3060,Manutenção de Máquinas Industriais
3999,Outros - Eixo Controle e Processos Industriais
4050,Administração
4051,Comércio
4052,Comércio Exterior
4053,Contabilidade
4054,Cooperativismo
4055,Finanças
4056,Logística
4057,Marketing
4058,Qualidade
4059,Recursos Humanos
4060,Secretariado
4061,Seguros
4062,Condomínio
4063,Serviços Públicos
4064,Transações Imobiliárias
4065,Vendas
4066,Serviços Jurídicos
4999,Outros - Eixo Gestão e Negócios
5066,Agenciamento de Viagem
5067,Cozinha
5068,Eventos
5069,Guia de Turismo
5070,Hospedagem
5071,Lazer
5072,Restaurante e Bar
5999,"Outros - Eixo Turismo, hospitalidade e Lazer"
6073,Informática
6074,Informática para Internet
6075,Manutenção e Suporte em Informática
6076,Programação de Jogos Digitais
6077,Redes de Computadores
6078,Sistemas de Comutação
6079,Sistemas de Transmissão
6080,Telecomunicações
6081,Computação Gráfica
6082,Desenvolvimento de Sistemas
6999,Outros - Eixo Informação e Comunicação
7081,Aeroportuário
7082,Agrimensura
7083,Carpintaria
7084,Desenho de Construção Civil
7085,Edificações
7086,Estradas
7087,Geodésia e Cartografia
7088,Geoprocessamento
7089,Hidrologia
7091,Portos
7092,Saneamento
7093,Trânsito
7094,Transporte Aquaviário
7095,Transporte de Cargas
7096,Transporte Dutoviário
7097,Transporte Metroferroviário
7098,Transporte Rodoviário
7999,Outros - Eixo Infra-Estrutura
8099,Comunicações Aeronáuticas
8100,Controle de Tráfego Aéreo
8101,Desenho Militar
8102,Eletricidade e Instrumentos Aeronáuticos
8103,Equipamentos de Vôo
8104,Estrutura e Pintura de Aeronaves
8105,Fotointeligência
8106,Guarda e Segurança
8107,Hidrografia
8108,Informações Aeronáuticas
8109,Manobras e Equipamentos de Convés
8110,Material Bélico
8111,Mergulho
8112,Operação de Radar
8113,Operação de Sonar
8114,Operações de Engenharia Militar
8115,Preparação Física e Desportiva Militar
8116,Sensores de Aviação
8117,Sinais Navais
8118,Sinalização Náutica
8119,Suprimento
8120,Ações de Comandos
8121,Armamento de Aeronaves
8122,Artilharia
8123,Artilharia Antiaérea
8124,Cavalaria
8125,"Combate a Incêndio, Resgate e Prevenção de Acidentes de Aviação"
8126,Comunicações Navais
8127,Equipamento de Engenharia
8128,Forças Especiais
8129,Infantaria
8130,Mecânica de Aeronaves
8131,Montanhismo
8132,Navegação Fluvial
8133,Bombeiro Aeronáutico
8999,Outros - Eixo Militar
9120,Alimentos
9121,Agroindústria
9122,Apicultura
9123,Cervejaria
9124,Confeitaria
9125,Panificação
9126,Processamento de Pescado
9127,Viticultura e Enologia
9999,Outros - Eixo Produção Alimentícia
10128,Artes Circenses
10129,Teatro
10130,Artes Visuais
10131,Artesanato
10132,Canto
10133,Composição e Arranjo
10134,Comunicação Visual
10135,Conservação e Restauro
10136,Dança
10137,Design de Calçados
10138,Design de Embalagens
10139,Design de Interiores
10140,Design de Jóias
10141,Design de Móveis
10142,Documentação Musical
10143,Fabricação de Instrumentos Musicais
10144,Instrumento Musical
10145,Modelagem do Vestuário
10146,Multimídia
10147,Paisagismo
10148,Processos Fotográficos
10149,Produção de Áudio e Vídeo
10150,Produção de Moda
10151,Publicidade
10152,Rádio e Televisão
10153,Regência
10154,Cenografia
10155,Museologia
10156,Processos Fonográficos
10157,Figurino Cênico
10999,Outros - Eixo Produção Cultural e Design
11154,Açúcar e Álcool
11155,Biocombustíveis
11156,Calçados
11157,Celulose e Papel
11158,Cerâmica
11159,Construção Naval
11160,Curtimento
11161,Fabricação Mecânica
11162,Impressão Rotográfica e Flexográfica
11163,Impressão Offset
11164,Joalheria
11165,Móveis
11166,Petróleo e Gás
11167,Plásticos
11168,Pré-Impressão Gráfica
11169,Têxtil
11170,Vestuário
11171,Processos Gráficos
11172,Análises Químicas
11173,Biotecnologia
11174,Petroquímica
11175,Química
11999,Outros - Eixo Produção Industrial
12171,Agricultura
12172,Agroecologia
12173,Agronegócio
12174,Agropecuária
12175,Aquicultura
12176,Cafeicultura
12177,Equipamentos Pesqueiros
12178,Florestas
12179,Fruticultura
12180,Geologia
12181,Mineração
12182,Pesca
12183,Recursos Minerais
12184,Recursos Pesqueiros
12185,Zootecnia
12186,Grãos
12187,Pós-Colheita
12999,Outros - Eixo Recursos Naturais
13181,Defesa Civil
13182,Segurança do Trabalho
13999,Outros - Eixo Segurança